,꽃,월,계절,꽃말,색상,꽃1,꽃2
0,각시붓꽃,3,봄,"부끄러움, 세련됨",보라,문스톤 장미,스카비오사
1,감국,10,가을,그윽한 향기,노랑,산자고,로사넬라 장미
2,개나리,3,봄,"희망,깊은 정, 달성",노랑,블랙뷰티 장미,수선화
3,개나리,4,봄,희망,노랑,블랙뷰티 장미,수선화
4,갯개미취,9,가을,추억,보라,히야신스,수선화
5,거베라,10,가을,"신비, 수수께끼",분홍,벳시 카네이션,무스카리
6,검은포플라,1,겨울,용기,빨강,팬지,수선화
7,겹 공작초,9,가을,첫눈에 반함,보라,벚꽃,복숭아꽃
8,겹 과꽃,4,봄,나의 사랑은 당신보다깊다,보라,퀵샌드 장미,문골렘 카네이션
9,겹 소국,9,가을,청초,분홍,웨스트민스터 애비 장미,캔들라이트 장미
10,겹 수선화,4,봄,"자기애, 고결함",노랑,목련,사이다 장미
11,겹 스토크,10,가을,역경에도 변치 않는 사랑,분홍,염색 카네이션,딥실버 장미
12,겹 알스트로메리아,2,겨울,"새로운 만남, 배려",주황,미뉴에토 카네이션,군자란
13,겹 캄파눌라,3,봄,따뜻한 사람,보라,딥실버 장미,방울 스카비오사
14,겹 프릴 리시안셔스,7,여름,변치않는 사랑,분홍,벳시 카네이션,무스카리
15,겹 해바라기,7,여름,"숭배, 동경",주황,버드푸드,캘리포니아퍼피
16,겹벗꽃,5,봄,"정숙,단아함",보라,웨스트민스터 애비 장미,피콜리니 거베라
17,겹복숭아 꽃,4,봄,"풍요, 행복",빨강,캔들라이트 장미,레이스플라워
18,겹설유화,3,봄,애교,초록,팬지,맥문동
19,겹튤립,4,봄,"영원한 애정, 매혹",주황,팬지,닭의장풀
20,겹헬레보러스,11,가을,불안함을 진정시켜주세요,빨강,아스틸베,페어플로우 장미
21,계란 소국,9,가을,밝은 마음,노랑,나무딸기꽃,프루테토 장미
22,골담초,2,겨울,"청초, 겸손",노랑,피치팡팡 장미,볼레로 카네이션
23,골드트렌드셋터 장미,6,여름,"우정, 완벽한 성취",노랑,팬지,미니 거베라
24,골드핀치 장미,6,여름,"우정, 완벽한 성취",노랑,버드푸드,캘리포니아퍼피
25,골든게이트 카네이션,6,여름,존경,노랑,써니 코마치 카네이션,계란 소국
26,골든로드,8,여름,경계,노랑,팬지,미니 거베라
27,골든볼,5,봄,"충실, 견고",노랑,블랙뷰티 장미,흰색동백
28,골디 카네이션,6,여름,존경,주황,목련,프루테토 장미
29,골렘 카네이션,6,여름,존경,분홍,핑크플로이드 장미,복주머니란(개불알꽃)
30,공작초,9,가을,"첫눈에 반함, 상상력",보라,벚꽃,복숭아꽃
31,과꽃,4,봄,믿음직한 사랑,보라,팬지,쑥부쟁이
32,과꽃,7,여름,"믿는 사랑, 추억",보라,팬지,쑥부쟁이
33,과꽃,9,가을,믿는 마음,보라,팬지,쑥부쟁이
34,과꽃,11,가을,추억,보라,팬지,쑥부쟁이
35,괭이눈,1,겨울,순간의 아름다움,노랑,피치팡팡 장미,볼레로 카네이션
36,괭이밥,5,봄,빛나는 마음,초록,버드푸드,캘리포니아퍼피
37,괭이밥(옥살리스),10,가을,당신을 버리지 않음,노랑,논냉이,맥문동
38,구절초,10,가을,가을 여인,보라,팬지,센토레아(수레국화)
39,구즈마니아,11,가을,만족,빨강,쉼머 장미,염색 튤립
40,국화,9,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
41,국화,11,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
42,국화,11,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
43,국화,11,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
44,국화,11,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
45,국화,11,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
46,국화,11,가을,"청결, 정조, 순결",흰색,초롱꽃,레이스플라워
47,군자란,1,겨울,고귀,주황,미뉴에토 카네이션,겹 알스트로메리아
48,굿무드 장미,6,여름,나의 마음 그대만이 아네,노랑,무스카리,맥문동
49,귀고리꽃,5,봄,열렬한 마음,빨강,레이스플라워,오리엔탈 백합
50,그린벨,6,여름,거짓 사랑,초록,패모,레드팬써 장미
51,글라디올러스,3,봄,"정열적인 사랑, 정열, 젊음, 승리",흰색,염색 카네이션,해오라비난초
52,글라디올러스,6,여름,"밀회, 조심",흰색,염색 카네이션,해오라비난초
53,글라디올러스,8,여름,"밀회, 조심",흰색,염색 카네이션,해오라비난초
54,글라디올러스,8,여름,"밀회, 조심",흰색,염색 카네이션,해오라비난초
55,글라디올러스,8,여름,"밀회, 조심",흰색,염색 카네이션,해오라비난초
56,글라디올러스,8,여름,"밀회, 조심",흰색,염색 카네이션,해오라비난초
57,글로리오사,6,여름,광명,빨강,브루트 카네이션,카우보이 카네이션
58,글록시니아,8,여름,"아양, 미태",빨강,익시아,패모
59,금강초롱,9,가을,"각시와 신랑, 청사초롱",보라,블랙뷰티 장미,팬지
60,금낭화,5,봄,당신을 따를게요,분홍,무릇,큐트 카네이션
61,금수 소국,9,가을,밝은 마음,노랑,팬지,미니 거베라
62,금어초,5,봄,욕망,노랑,피치팡팡 장미,볼레로 카네이션
63,금어초,7,여름,욕망,노랑,피치팡팡 장미,볼레로 카네이션
64,금어초,7,여름,"수다쟁이, 참견",분홍,겹헬레보러스,페어플로우 장미
65,금작화,3,봄,청초,노랑,팬지,미니 거베라
66,금작화,4,봄,박애,노랑,팬지,다알리아
67,금잔화,5,봄,이별의 슬픔,노랑,노랑수선화,캘리포니아퍼피
68,금잔화,8,여름,이별의 슬픔,노랑,노랑수선화,캘리포니아퍼피
69,금잔화,10,가을,이별의 슬픔,노랑,노랑수선화,캘리포니아퍼피
70,금잔화,10,가을,이별의 슬픔,노랑,노랑수선화,캘리포니아퍼피
71,금잔화,10,가을,이별의 슬픔,노랑,노랑수선화,캘리포니아퍼피
72,금잔화,10,가을,이별의 슬픔,노랑,노랑수선화,캘리포니아퍼피
